Комиссия,Шаблон товара,Тип товара,Подкатегория товара,Категория
0.21,201826_Шар для перил,Навершие перил,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201827_Задвижка и защелка,"Задвижка, защелка, фиксатор для двери",Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201828_Дверные ручки без механизма,Дверные ручки,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201832_Накладка для замочной скважины для дверей,Ответные планки для замка,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201833_Дверной молоток,Декоративные аксессуары для двери,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201834_Ручки-кнобы с фалевым механизмом,Дверные ручки,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.23,"201835_Дверной стопор, ограничитель",Дверной стопор,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201838_Крючок и вешалка для прикручивания,Крючки-вешалки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201841_Ручка для окна и балконной двери,Оконная фурнитура,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201842_Дверные ручки скобы и кнобы без механизма,Дверные ручки,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.27,"201843_Крепеж для картин, рамок, багета",Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201844_Самоклеящееся крепление,Крепеж без гвоздей и шурупов,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201845_Фиксатор,"Задвижка, защелка, фиксатор для двери",Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201846_Аксессуары для зеркала,"Зеркала настенные, косметические",Зеркала в ванную комнату,"Сантехника (ванная комната, санузел, аксессуары)"
0.23,201847_Дверные аксессуары,Декоративные аксессуары для двери,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201848_Дверные цифры или буквы,Декоративные аксессуары для двери,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201849_Знаки и маркировка,"Указатели, знаки, таблички",Дорожное оборудование и безопасность,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201850_Дорожный конус,Оборудование для обеспечения безопасности дорожного движения,Дорожное оборудование и безопасность,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201852_Металлическая лента,Профиль и металлические ленты,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.23,201853_Оконные петли,Оконная фурнитура,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201854_Профиль,Профиль и металлические ленты,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.29,201872_Вентиляционная решетка,Дополнительные элементы вентиляции,Климатическая техника и системы вентиляции,"Техника (бытовая, климатическая, электроника и сети)"
0.25,201873_Почтовый ящик,Почтовый ящик и аксессуары,Мебель для дачи и сада,"Дача и сад (садоводство, ландшафт, отдых)"
0.18,201876_Листовой металл,Профиль и металлические ленты,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201880_Доводчик дверей,Дверные петли и доводчики,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201883_Кованые элементы забора,Декоративные кованные изделия,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.23,201885_Декоративный элемент,Декоративные мебельные элементы,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201887_Кованая балясина,Декоративные кованные изделия,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,"201892_Медицинские шкафчики, аптечки",Сейф и безопасное хранение вещей,Безопасное хранение,"Хранение (системы, стеллажи, коробки)"
0.23,201893_Кэшбоксы и копилки,Декоративные предметы,Декоративные предметы и аксессуары для интерьера,"Декор (интерьер, стены и потолок)"
0.24,201894_Сейф механический с ключом,Сейф и безопасное хранение вещей,Безопасное хранение,"Хранение (системы, стеллажи, коробки)"
0.21,201895_Сейф электронный кодовый,Сейф и безопасное хранение вещей,Безопасное хранение,"Хранение (системы, стеллажи, коробки)"
0.21,201897_Шкаф для хранения оружия,Сейф и безопасное хранение вещей,Безопасное хранение,"Хранение (системы, стеллажи, коробки)"
0.28,201899_Шкафчики для ключей,Сейф и безопасное хранение вещей,Безопасное хранение,"Хранение (системы, стеллажи, коробки)"
0.23,201901_Глазок дверной оптический,Дверной глазок,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.23,201902_Глазок дверной электронный,Дверной глазок,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201903_Ограничитель открывания окон и дверей,Ограничители открывания двери и окна,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201904_Средства защиты для детей,Безопасность ребенка,Безопасность людей и имущества,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.25,201905_Накладной замок,Замки для дверей и гаражей,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201906_Встраиваемый замок сувальдный,Замки для дверей и гаражей,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201907_Встраиваемый замок под цилиндр,Замки для дверей и гаражей,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201913_Замок для гаражной двери,Замки для дверей и гаражей,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201915_Цилиндр для замка,Цилиндры для замка,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201919_Блокираторы и замки для окон,Оконная фурнитура,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201921_Навесной замок с ключом,Замки и системы безопасности,Безопасность людей и имущества,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201922_Навесной замок с кодом,Замки и системы безопасности,Безопасность людей и имущества,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201925_Противоугонная система велосипеда,Замки и системы безопасности,Безопасность людей и имущества,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201928_Петли и крепления для навесных замков,Замки и системы безопасности,Безопасность людей и имущества,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201929_Парковочное барьерное оборудование,Ограждение парковочного места и гараж,Дорожное оборудование и безопасность,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201930_Зеркало безопасности,Ограждение парковочного места и гараж,Дорожное оборудование и безопасность,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.24,201931_Электрический замок,Управление умным домом,Умный дом и системы безопасности,"Электротовары (монтаж, защита, управление)"
0.25,201934_Дверная петля,Дверные петли и доводчики,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201935_Мебельная петля,Мебельные петли,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.23,201939_Механизмы для раздвижных дверей,Фурнитура и механизмы для раздвижных дверей (шкаф-купе),Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.22,201941_Уплотнитель для раздвижных дверей,Фурнитура и механизмы для раздвижных дверей (шкаф-купе),Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201942_Замок для мебели,Мебельные замки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,201947_Дверной ригель торцевой,"Задвижка, защелка, фиксатор для двери",Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201948_Замок для почтового ящика,Мебельные замки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201949_Замок для стеклянной витрины,Мебельные замки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201952_Магнитная защелка,Магнитные защелки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201953_Подъемный механизм для мебели,Направляющие и механизмы для мебели,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201954_Направляющие для мебельных ящиков,Направляющие и механизмы для мебели,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.2,201955_Навесной крючок и вешалка,Крючки-вешалки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201956_Выдвижная система метабокс,Направляющие и механизмы для мебели,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201960_Мебельный амортизатор,Направляющие и механизмы для мебели,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201961_Механизм открывания Push to Open,Направляющие и механизмы для мебели,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201962_Крепёж для сборки мебели,Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201965_Разметочный шаблон,Разметочный шаблон,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201968_Крепежная и соединительная пластина,Соединительные элементы и уголки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201969_Наконечник,Аксессуары для мебельных ножек и подстольев,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,"201970_Накладки, набойки, насадки для мебели",Аксессуары для мебельных ножек и подстольев,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.17,201971_Антивибрационные подставки и антивибрационный коврик для бытовой техники,Запасные части для бытовой техники,Крупная бытовая техника,"Техника (бытовая, климатическая, электроника и сети)"
0.21,201972_Мебельные ножки,Мебельные ножки,Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.21,201974_Клипса крепления цоколя,"Установка плинтуса, цоколя, карниза",Кухонные гарнитуры и составные части,"Кухни (гарнитуры, мойки, обустройство кухни)"
0.24,201976_Тележка платформенная,Тележки для перемещения груза,Грузоподъемное оборудование,"Инструменты и оборудование (ремонт, строительство, производство)"
0.21,201977_Колеса и ролики мебельные,"Колесики, ролики, подставки на колесах",Мебельная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,201981_Стремянки,Стремянки,Организация рабочего места,"Инструменты и оборудование (ремонт, строительство, производство)"
0.2,201983_Стремянки-табуреты,Стремянки,Организация рабочего места,"Инструменты и оборудование (ремонт, строительство, производство)"
0.21,201986_Уличный мусорный бак,Уличные баки и мешки для сбора мусора,Садовые инструменты (ручные),"Дача и сад (садоводство, ландшафт, отдых)"
0.24,201988_Тележка двухколесная,Тележки для перемещения груза,Грузоподъемное оборудование,"Инструменты и оборудование (ремонт, строительство, производство)"
0.24,201990_Сумка для покупок с колесами,Сумки и чемоданы,Коробки для хранения,"Хранение (системы, стеллажи, коробки)"
0.24,201991_Гвоздь,Гвозди и скобы,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201992_Скоба,Гвозди и скобы,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201994_Шуруп,Шурупы и саморезы,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201998_Шуруп с двойной винтовой резьбой,Шурупы и саморезы,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,201999_Набор крепежа,Шурупы и саморезы,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202000_Болт с метрической резьбой,Метрический крепеж (резьбовой),"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,202001_Заглушка для крепежа,Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202009_Крючок винтовой,Винтовые крючки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202011_Крепеж,Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,202014_Дюбель для всех видов стен,Дюбели,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.22,202015_Химический анкер,Анкеры,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.22,202021_Аксессуары для химических анкеров,Анкеры,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202022_Веревка,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,"202023_Блоки, шкивы для тросов","Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202024_Трос для поддержки,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202027_Крюк канатный,Карабины и крюки,Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202028_Цепь,"Цепи, звенья и вертлюги",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202029_Кольцо,"Цепи, звенья и вертлюги",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202031_Звено для соединения цепи,"Цепи, звенья и вертлюги",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202032_Крючок S - образный,Карабины и крюки,Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202033_Соединительный вертлюг для цепи,"Цепи, звенья и вертлюги",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202034_Карабин,Карабины и крюки,Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202035_Крепежное кольцо,Карабины и крюки,Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202036_Трос,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202037_Зажим для тросов,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202038_Проволока,Проволока и проволочные изделия,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202039_Шплинт,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202040_Зажим для троса,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202041_Коуш для троса,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202042_Скоба для тросов,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202045_Натяжное устройство для троса,"Тросы, коуши и крепления",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.29,202047_Наконечник для кабеля,"Крепеж, маркировка и изоляция кабеля","Кабели, провода и прокладка","Электротовары (монтаж, защита, управление)"
0.28,202048_Крюк подъемный,Карабины и крюки,Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202049_Ремень эластичный,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202050_Ремни и тросы с крюком,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202056_Ремень с натяжной защелкой,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202057_Набор стяжных ремней,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202058_Люверс и заклепка для ремня и полотна,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,202060_Крепеж для труб,Специализированный крепеж и заглушки,"Крепеж (строительный, мебельный)","Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202069_Гаражный протектор,Ограждение парковочного места и гараж,Дорожное оборудование и безопасность,"Безопасность (СИЗ, охрана и дорожное оборудование)"
0.21,202073_Чехол,Чехлы и вакуумные пакеты,"Чехлы, плечики и вакуумные пакеты","Хранение (системы, стеллажи, коробки)"
0.24,202075_Бирка для ключей,Бирки для ключей,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.28,202076_Набор эластичных верёвок,"Веревки, ремни, стропы и аксессуары",Такелаж,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.25,202077_Пружина,Пружины и упругие элементы,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202078_Магнит,Магнит,Металлические изделия,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.24,202080_Ответная планка для замка,Ответные планки для замка,Дверная и оконная фурнитура,"Скобяные изделия (крепеж, такелаж, фурнитура)"
0.22,202084_Жидкий колорант для ручной колеровки,Колоранты для ручной и машинной колеровки,Колеровочный центр,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202085_Порошкообразный колорант для ручной колеровки,Колоранты для ручной и машинной колеровки,Колеровочный центр,"Краски (ЛКМ, подготовка, инструменты)"
0.28,202099_Декоративная аэрозольная краска,Аэрозольные лакокрасочные материалы,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202100_Техническая аэрозольная краска,Аэрозольные лакокрасочные материалы,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.18,202101_Грунтовка аэрозольная,Аэрозольные лакокрасочные материалы,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.23,202102_Лак аэрозольный,Аэрозольные лакокрасочные материалы,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.25,202103_Краска аэрозольная автомобильная,Аэрозольные лакокрасочные материалы,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.25,202106_Эмали для внутренних и наружных работ,"Эмали для дерева, металла, камня",Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.23,"202115_Очиститель, отбеливатель для дерева",Средства для обработки дерева,"Покрытия и средства для дерева, металла и камня","Краски (ЛКМ, подготовка, инструменты)"
0.23,202118_Воск для древесины,Материал для восстановления и ухода за мебелью,Реставрация и ремонт мебели,"Краски (ЛКМ, подготовка, инструменты)"
0.27,"202120_Удалитель краски, воска, масла","Смывка, обезжириватель, маслоотделитель",Подготовка основания,"Краски (ЛКМ, подготовка, инструменты)"
0.23,202121_Воск для заполнения царапин,Материал для восстановления и ухода за мебелью,Реставрация и ремонт мебели,"Краски (ЛКМ, подготовка, инструменты)"
0.26,202125_Металлическая мочалка,"Губки, салфетки, тряпки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.23,202128_Универсальное моющее средство,Универсальные чистящие средства,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202131_Обезжириватель,"Смывка, обезжириватель, маслоотделитель",Подготовка основания,"Краски (ЛКМ, подготовка, инструменты)"
0.21,202132_Жидкость стеклоомывающая,Автохимия,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.27,"202133_Средство по уходу за кожей, замшей, нубуком",Чистящие средства специального назначения,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.19,202136_Очиститель для рук,Средства личной гигиены,"Личная гигиена, уход и красота","Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.27,202139_Средство для чистки и ухода за напольными покрытиями,Чистящие средства специального назначения,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.23,"202140_Удалитель пятен, клея, жевательной резинки",Чистящие средства специального назначения,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.19,202142_Средство по уходу за автомобилем,Автохимия,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.27,202143_Средство для чистки камина,Чистящие средства специального назначения,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.27,"202145_Удалитель запаха, дезодорант","Удалитель запаха, дезодорант",Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.19,202146_Дезинфицирующее средство,Средства личной гигиены,"Личная гигиена, уход и красота","Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.21,202147_Моющее средство,Универсальные чистящие средства,Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.23,"202149_Очиститель для унитаза, трубы и септика","Средства по уходу за туалетом, канализацией, септиком",Бытовая и профессиональная химия,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,"202151_Щетка для пола, шробер","Метелки, щетки, совки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202152_Насадка для швабры,Швабры и комплектующие,Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202153_Швабра,Швабры и комплектующие,Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,"202154_Метла, веник","Метелки, щетки, совки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202155_Черенок для швабры,Швабры и комплектующие,Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.24,202156_Метелка для пыли,"Метелки, щетки, совки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.24,202157_Щетка и совок,"Метелки, щетки, совки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202159_Водосгон,Инструменты для очистки стекол,Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.27,202160_Ведра и тазы,Ведра и тележки,Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202161_Губки,"Губки, салфетки, тряпки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,"202162_Салфетки, тряпки","Губки, салфетки, тряпки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.26,202164_Бумажное полотенце,"Губки, салфетки, тряпки",Инвентарь для уборки,"Хозтовары (уборка, быт. и проф. химия, гигиена)"
0.25,"202169_Водозащитная пропитка для камня, цемента, бетона и кирпича",Пропитки для древесины и камню,"Покрытия и средства для дерева, металла и камня","Краски (ЛКМ, подготовка, инструменты)"
0.26,202172_Стеклохолст и стеклосетка,Стекловолокно,"Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.23,202173_Эпоксидный клей,Специализированный и монтажный клей,Клеи и клейкие ленты,"Краски (ЛКМ, подготовка, инструменты)"
0.23,202175_Уплотнитель,Уплотнители,"Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.22,202177_Уплотнитель для двери,Уплотнители,"Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.27,202178_Монтажная пена,"Монтажная пена, пистолеты и аксессуары","Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.29,202179_Пистолеты для герметиков и монтажного клея,"Герметики, пистолеты и аксессуары","Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.22,202182_Теплоизоляционное жидкое покрытие,Специальные покрытия для внутренних работ,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.26,202184_Герметик,"Герметики, пистолеты и аксессуары","Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.26,202185_Аксессуары для герметика,"Герметики, пистолеты и аксессуары","Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.26,202186_Растворитель,Растворитель и разбавитель краски,Подготовка основания,"Краски (ЛКМ, подготовка, инструменты)"
0.27,202187_Очиститель монтажной пены,"Монтажная пена, пистолеты и аксессуары","Герметики, монтажная пена, уплотнители","Краски (ЛКМ, подготовка, инструменты)"
0.24,202190_Декоративная штукатурка,Декоративная штукатурка для внутренних работ,Декоративные покрытия для внутренних работ,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202192_Финишное покрытие с декоративным эффектом,Декоративная краска для стен,Декоративные покрытия для внутренних работ,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202193_Краски для внутренних и наружных работ,Краска для стен и потолка,Краски и эмали для внутренних и наружных работ,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202199_Трафарет,Трафарет и аппликатор для краски,Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202202_Малярная кисть,"Малярные кисти, валики, бюгели",Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202203_Наборы малярных кистей и валиков,"Малярные кисти, валики, бюгели",Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
0.17,202204_Малярная лента,Малярный скотч,Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
0.21,202206_Укрывной тент для защиты от пыли и краски,Защитный чехол,Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
0.2,202207_Ведро для краски,"Ведро, лоток и сетка для процеживания краски",Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
0.22,202208_Кювета для краски,"Ведро, лоток и сетка для процеживания краски",Инструменты для покраски и аксессуары,"Краски (ЛКМ, подготовка, инструменты)"
